FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
ANOVA,LDA,KNN,3,0.9021,0.7317,0.888
ANOVA,LDA,KNN,4,0.9171,0.7466,0.9021
ANOVA,LDA,KNN,5,0.9252,0.7528,0.914
ANOVA,LDA,NB,1,0.8016,0.6167,0.7785
ANOVA,LDA,NB,2,0.7897,0.6199,0.7757
ANOVA,LDA,NB,3,0.8029,0.6182,0.798
ANOVA,LDA,NB,4,0.8046,0.6234,0.7849
ANOVA,LDA,NB,5,0.7692,0.6028,0.7555
ANOVA,LDA,SVM,1,0.8929,0.7151,0.8778
ANOVA,LDA,SVM,2,0.8832,0.7045,0.8705
ANOVA,LDA,SVM,3,0.8755,0.699,0.8678
ANOVA,LDA,SVM,4,0.8548,0.6858,0.8435
ANOVA,LDA,SVM,5,0.8764,0.7043,0.8625
ANOVA,LDA,RF,1,0.9448,0.771,0.9258
ANOVA,LDA,RF,2,0.9524,0.7729,0.9395
ANOVA,LDA,RF,3,0.9529,0.7809,0.9501
ANOVA,LDA,RF,4,0.9653,0.7885,0.9489
ANOVA,LDA,RF,5,0.9409,0.7696,0.9297
ANOVA,LDA,ET,1,0.9475,0.7668,0.9264
ANOVA,LDA,ET,2,0.9746,0.7953,0.9637
ANOVA,LDA,ET,3,0.937,0.7779,0.9353
ANOVA,LDA,ET,4,0.9491,0.7771,0.9327
ANOVA,LDA,ET,5,0.9614,0.7912,0.9538
ANOVA,LDA,GB,1,0.9396,0.7579,0.926
ANOVA,LDA,GB,2,0.9513,0.7771,0.9345
ANOVA,LDA,GB,3,0.9316,0.7612,0.9183
ANOVA,LDA,GB,4,0.9283,0.7564,0.9095
ANOVA,LDA,GB,5,0.9425,0.7734,0.9306
ANOVA,LDA,XGB,1,0.9455,0.7886,0.9456
ANOVA,LDA,XGB,2,0.9631,0.8022,0.9534
ANOVA,LDA,XGB,3,0.9091,0.7487,0.8955
ANOVA,LDA,XGB,4,0.9343,0.7593,0.9231
ANOVA,LDA,XGB,5,0.952,0.773,0.9367
ANOVA,LDA,LGBM,1,0.9413,0.7813,0.933
ANOVA,LDA,LGBM,2,0.947,0.7731,0.9377
ANOVA,LDA,LGBM,3,0.9072,0.7502,0.9102
ANOVA,LDA,LGBM,4,0.9171,0.7449,0.9116
ANOVA,LDA,LGBM,5,0.9635,0.7895,0.9502
ANOVA,LDA,CAT,1,0.9831,0.8073,0.9727
ANOVA,LDA,CAT,2,0.9261,0.7683,0.9244
ANOVA,LDA,CAT,3,0.9481,0.7794,0.9395
ANOVA,LDA,CAT,4,0.9449,0.7854,0.9418
ANOVA,LDA,CAT,5,0.9346,0.7616,0.9212
ANOVA,LDA,STACK,1,0.994,0.8221,0.9796
ANOVA,LDA,STACK,2,0.9885,0.8118,0.9752
ANOVA,LDA,STACK,3,0.9661,0.786,0.9434
ANOVA,LDA,STACK,4,0.9673,0.8017,0.9613
ANOVA,LDA,STACK,5,0.9816,0.8026,0.9727
ANOVA,ICA,DT,1,0.8372,0.6685,0.8279
ANOVA,ICA,DT,2,0.8599,0.6716,0.8443
ANOVA,ICA,DT,3,0.8378,0.6623,0.8215
ANOVA,ICA,DT,4,0.8461,0.6757,0.8401
ANOVA,ICA,DT,5,0.8593,0.6855,0.8448
ANOVA,ICA,LR,1,0.8578,0.6885,0.8441
ANOVA,ICA,LR,2,0.863,0.6947,0.8582
ANOVA,ICA,LR,3,0.8517,0.6832,0.8414
ANOVA,ICA,LR,4,0.8633,0.6848,0.8449
ANOVA,ICA,LR,5,0.8907,0.7098,0.8763
ANOVA,ICA,KNN,1,0.8551,0.6851,0.8407
ANOVA,ICA,KNN,2,0.8878,0.7132,0.8795
ANOVA,ICA,KNN,3,0.896,0.7261,0.883
ANOVA,ICA,KNN,4,0.872,0.7069,0.8647
ANOVA,ICA,KNN,5,0.8774,0.711,0.8608
ANOVA,ICA,NB,1,0.7456,0.5708,0.7347
