accuracy,macro_f1,weighted_f1,precision,recall,FS,FE,CLF,fold
0.9167217448777264,0.7400241599252452,0.9314610337711529,0.6874214878964893,0.8540534730575633,VT,PCA,CAT,3
0.9041427941824592,0.70296475171461,0.9200553304924209,0.6555742887028095,0.8224818976279544,VT,PCA,CAT,4
0.9076685764654032,0.8290867373725916,0.9233434588642081,0.7683062918266191,0.9702013438308832,VT,PCA,CAT,5
0.9103326723948006,0.6987595682704468,0.925456004071954,0.6376731472927283,0.8384298458077657,VT,PCA,CAT,6
0.9024014100022031,0.7108280824659864,0.9186656097443323,0.6570740260953098,0.8499974717344273,VT,PCA,CAT,7
0.898876404494382,0.7086474878987497,0.9174906919933573,0.6603759497007597,0.833128919434496,VT,PCA,CAT,8
0.9067871308946672,0.7141915896651534,0.9232562626831184,0.6589070989206859,0.8502060835036142,VT,PCA,CAT,9
0.9074482150727192,0.8397856624782387,0.9240240957677981,0.7866065118555046,0.9695168180015334,VT,PCA,CAT,10
0.9026217228464419,0.704728689708262,0.9203574565446125,0.6536434028576937,0.8474202490846621,VT,PCA,CAT,11
0.8979951531174267,0.6964741511715591,0.9153200841323682,0.6395809313199908,0.8337908564593162,VT,PCA,CAT,12
0.907468605419696,0.71240188804445,0.922162894627081,0.6492517271719206,0.8533612538662998,VT,PCA,CAT,13
0.8904803878360511,0.7786500628935517,0.9083425757135423,0.7022961064740815,0.9630836911151482,VT,PCA,CAT,14
0.9039224327897752,0.8075818137150998,0.9218362796906083,0.7503944856981805,0.9633577405882283,VT,PCA,CAT,15
0.9129764265256665,0.7314517276501584,0.9278048775650585,0.6739172010022105,0.847136838377281,VT,PCA,STACK,1
0.9156201806565323,0.7179573776913222,0.9282414259894213,0.6703056105944798,0.8280689351763735,VT,PCA,STACK,2
0.9297202026878167,0.742700510978553,0.9405664165975981,0.6859022192334329,0.8510839750287418,VT,PCA,STACK,3
0.9224327897752314,0.8465329520540366,0.9348304396082017,0.7898000820682674,0.9640542844728407,VT,PCA,STACK,4
0.9288232701630674,0.8572292788822988,0.940387344292333,0.7977500127098243,0.9712337863566809,VT,PCA,STACK,5
0.9248733201145627,0.7219142485691106,0.9368059840272498,0.6659950724421393,0.8379214697437052,VT,PCA,STACK,6
0.9191451861643534,0.7287315176293154,0.9310017118626638,0.6763009759201875,0.8400096503219054,VT,PCA,STACK,7
0.9195858118528311,0.7359619548345615,0.9343537460258574,0.6923163163078654,0.8320254264761321,VT,PCA,STACK,8
0.9275011018069634,0.8461239749526259,0.9402185565630826,0.7855432089895614,0.9781037218781063,VT,PCA,STACK,9
0.9244160423093873,0.8498053077803142,0.9366192017390281,0.7974508713873262,0.9606242895138788,VT,PCA,STACK,10
0.923331130204891,0.7358208359675293,0.937449647357661,0.6957289874190054,0.8503657226981752,VT,PCA,STACK,11
0.9189248733201145,0.7116732874287943,0.9321641492871906,0.6639742747762807,0.8244230468066327,VT,PCA,STACK,12
0.9213483146067416,0.717293858063285,0.9334330232974447,0.6505784686843945,0.853852277717235,VT,PCA,STACK,13
0.9140590568532393,0.811272461072285,0.9277057679834063,0.7370241159688208,0.9730685951997374,VT,PCA,STACK,14
0.9239753195240193,0.8422035378054107,0.9371531177531591,0.7825721206976368,0.97768735958766,VT,PCA,STACK,15
0.9193654990085922,0.742478457589812,0.9301712374172427,0.688078595607005,0.8473805855676333,VT,LDA,DT,1
0.9336858338841154,0.8217207425494901,0.9414859902476185,0.7531856533749861,0.973593636953799,VT,LDA,DT,2
0.94029521921128,0.7562596482182683,0.9481671182196519,0.7212823789771119,0.835066133467044,VT,LDA,DT,3
0.9451300132216836,0.7805889506826051,0.9518291848573425,0.737804489931588,0.849949207467189,VT,LDA,DT,4
0.9407227853680036,0.7759332824348639,0.9474981410024312,0.7280852419310146,0.8570293701241809,VT,LDA,DT,5
0.9442608504075788,0.7679010175879,0.9521422171913726,0.7279845343071458,0.8450139828806924,VT,LDA,DT,6
0.933024895351399,0.7496742893803533,0.9411124102511248,0.6925583939551325,0.8472957785277457,VT,LDA,DT,7
0.9407358448997577,0.7597851857681428,0.9467282921374776,0.7062192650832516,0.8519436782686048,VT,LDA,DT,8
0.9398413397972675,0.7738953670661728,0.9474180801845383,0.728503538843893,0.8518531889236254,VT,LDA,DT,9
0.9438078448655796,0.7635885941738175,0.9520023448565809,0.740313132701587,0.8217428069960455,VT,LDA,DT,10
0.9400749063670412,0.7574880218900315,0.9484736942205577,0.722882660200008,0.8356037145417128,VT,LDA,DT,11
0.9433795990306235,0.7544989450690722,0.949447940403905,0.6990549064163908,0.8482485857487361,VT,LDA,DT,12
0.9345670852610707,0.7602107981817263,0.9434810492006352,0.7148644955589771,0.8497132401489333,VT,LDA,DT,13
0.9316879682679594,0.7522368668130894,0.9410581396312964,0.7034656001569285,0.8517952924239318,VT,LDA,DT,14
0.9475539885412075,0.7723380412532657,0.9536617068963033,0.7276068439808487,0.8490421201746619,VT,LDA,DT,15
