FS,FE,CLF,n_ok_folds,n_total_folds,success_rate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std
Chi2,PCA,LR,15,15,1.0,0.8788760924897077,0.015016936021669465,0.7472351286670259,0.03827116563192133,0.9058374142171655,0.011342605300496264,0.705202414518803,0.03753104305554808,0.8670074997346948,0.043606582161670036
Chi2,LDA,LR,15,15,1.0,0.8934618061128515,0.008379373025493707,0.7443687851757858,0.006731939171690718,0.9148678311066464,0.0071617006813492505,0.7018618474750097,0.008579272411740044,0.8530150304599926,0.002195815062577006
VT,PCA,LGBM,15,15,1.0,0.9163915960311064,0.006073426633445733,0.7438124040019685,0.043536074544601164,0.9307643907921784,0.0051761665573543236,0.685800792368912,0.04341589210295743,0.8724724556170447,0.05143679734562483
VT,SVD,LGBM,15,15,1.0,0.9158627027961608,0.005539146516571185,0.7423894898573236,0.04107025700375841,0.9304254947877132,0.004572588986743801,0.6850978617315414,0.041413666267925024,0.8719489433430189,0.05117061683617672
Chi2,PCA,SVM,15,15,1.0,0.8289182276852816,0.02153869057174992,0.7413344074909162,0.04908530146964396,0.8714164373748264,0.015532904936886725,0.7062247218004791,0.04625754107662791,0.8928561780231271,0.06017056167357511
Chi2,SVD,SVM,15,15,1.0,0.8289182276852816,0.02153869057174992,0.7413344074909162,0.04908530146964396,0.8714164373748264,0.015532904936886725,0.7062247218004791,0.04625754107662791,0.8928561780231271,0.06017056167357511
VT,SVD,ET,15,15,1.0,0.9042878731194801,0.006766577304450047,0.7395388644835105,0.04649786543711129,0.9221444813808073,0.00537292966989017,0.6852986495472967,0.04485193841185731,0.8740937501934488,0.04952734620044093
VT,SVD,RF,15,15,1.0,0.9039940029076635,0.007400053864252622,0.7375626307295688,0.04043729662391315,0.9220573789111798,0.005963129604012601,0.6845455536505386,0.036516955897339345,0.8716509681713134,0.05112082322725607
VT,PCA,CAT,15,15,1.0,0.9031713365577916,0.006870288255411034,0.7373164892157887,0.05067093030892818,0.9200144360998991,0.005759693312893338,0.6817604611901693,0.04832390450533865,0.874777511534077,0.05813871376935619
VT,SVD,XGB,15,15,1.0,0.9100900369754668,0.0071759709887646295,0.7361469614583492,0.04709616872226989,0.9253049835696499,0.005821439938518606,0.6781240820015851,0.04969876125724052,0.8682825853022194,0.050161298027974796
VT,SVD,CAT,15,15,1.0,0.9017613958493604,0.007358224585173706,0.7361168214099431,0.050204437977963035,0.918970181315982,0.00612471575434698,0.6818041382545869,0.0473536387630102,0.873153388847848,0.05647219046455558
VT,PCA,XGB,15,15,1.0,0.9104424566121736,0.00601015356206818,0.7358477228388592,0.04775590834352604,0.9257007968236896,0.0049861621834828606,0.677374085201827,0.0501524979908229,0.8681735243645117,0.04990684325346171
ANOVA,LDA,LR,15,15,1.0,0.8966347868446529,0.011275136420296254,0.735431950484871,0.011874555104478924,0.9166678730754739,0.008384264248872087,0.6898505452609336,0.01286009715764334,0.8533004879757965,0.006538794295705471
Chi2,ICA,LR,15,15,1.0,0.8876307462222918,0.013563030487364654,0.7345875044648686,0.012231723973672417,0.9116913450838505,0.010467911737875589,0.69100551555451,0.015046632176119228,0.8538889546939128,0.0026958259561032966
