FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
VT,ICA,STACK,5,0.9487,0.7981,0.9396
VT,SVD,DT,1,0.8114,0.6592,0.804
VT,SVD,DT,2,0.8252,0.6802,0.8138
VT,SVD,DT,3,0.8306,0.6811,0.8212
VT,SVD,DT,4,0.849,0.6905,0.8353
VT,SVD,DT,5,0.8583,0.7132,0.8502
VT,SVD,LR,1,0.8286,0.6799,0.822
VT,SVD,LR,2,0.8073,0.663,0.7969
VT,SVD,LR,3,0.8393,0.7001,0.8323
VT,SVD,LR,4,0.8376,0.6886,0.825
VT,SVD,LR,5,0.838,0.69,0.8316
VT,SVD,KNN,1,0.8918,0.7354,0.8754
VT,SVD,KNN,2,0.8652,0.7156,0.8586
VT,SVD,KNN,3,0.8567,0.7105,0.847
VT,SVD,KNN,4,0.8698,0.7178,0.8655
VT,SVD,KNN,5,0.8706,0.7091,0.8576
VT,SVD,NB,1,0.7249,0.5712,0.7137
VT,SVD,NB,2,0.7166,0.5686,0.7067
VT,SVD,NB,3,0.7526,0.5973,0.7421
VT,SVD,NB,4,0.7453,0.6003,0.7396
VT,SVD,NB,5,0.7236,0.5807,0.7234
VT,SVD,SVM,1,0.8294,0.6868,0.8212
VT,SVD,SVM,2,0.8314,0.6851,0.8311
VT,SVD,SVM,3,0.8192,0.6719,0.8122
VT,SVD,SVM,4,0.83,0.6886,0.8182
VT,SVD,SVM,5,0.84,0.6843,0.8245
VT,SVD,RF,1,0.8797,0.7277,0.8732
VT,SVD,RF,2,0.8997,0.7473,0.8856
VT,SVD,RF,3,0.8897,0.7478,0.8805
VT,SVD,RF,4,0.8841,0.7391,0.8779
VT,SVD,RF,5,0.9173,0.7585,0.8996
VT,SVD,ET,1,0.8897,0.7443,0.879
VT,SVD,ET,2,0.9075,0.7444,0.8963
VT,SVD,ET,3,0.9088,0.7615,0.9004
VT,SVD,ET,4,0.9057,0.7497,0.8915
VT,SVD,ET,5,0.89,0.7488,0.8854
VT,SVD,GB,1,0.8844,0.7292,0.8721
VT,SVD,GB,2,0.8776,0.7298,0.8668
VT,SVD,GB,3,0.8861,0.7357,0.8755
VT,SVD,GB,4,0.8809,0.7285,0.8731
VT,SVD,GB,5,0.8875,0.7319,0.8738
VT,SVD,XGB,1,0.9113,0.755,0.8983
VT,SVD,XGB,2,0.8898,0.7253,0.8683
VT,SVD,XGB,3,0.8755,0.7317,0.8666
VT,SVD,XGB,4,0.9005,0.7502,0.8928
VT,SVD,XGB,5,0.8982,0.7396,0.8848
VT,SVD,LGBM,1,0.9111,0.7543,0.8993
VT,SVD,LGBM,2,0.8795,0.7361,0.8744
VT,SVD,LGBM,3,0.8772,0.7317,0.8742
VT,SVD,LGBM,4,0.8743,0.7248,0.8629
VT,SVD,LGBM,5,0.8801,0.7274,0.8696
VT,SVD,CAT,1,0.9003,0.7506,0.882
VT,SVD,CAT,2,0.9077,0.7542,0.8944
VT,SVD,CAT,3,0.8932,0.7461,0.8824
VT,SVD,CAT,4,0.9046,0.7478,0.8893
VT,SVD,CAT,5,0.8875,0.7409,0.8814
VT,SVD,STACK,1,0.9226,0.7664,0.9041
VT,SVD,STACK,2,0.9194,0.7724,0.9074
VT,SVD,STACK,3,0.9052,0.7681,0.8928
VT,SVD,STACK,4,0.9026,0.7545,0.8974
VT,SVD,STACK,5,0.9004,0.7554,0.8979
ANOVA,None,DT,1,0.8596,0.7055,0.8466
ANOVA,None,DT,2,0.8631,0.7174,0.8573
ANOVA,None,DT,3,0.8852,0.7292,0.8662
ANOVA,None,DT,4,0.8666,0.7055,0.8513
ANOVA,None,DT,5,0.8551,0.6995,0.8413
ANOVA,None,LR,1,0.8775,0.727,0.866
ANOVA,None,LR,2,0.8651,0.7161,0.8502
ANOVA,None,LR,3,0.8743,0.7144,0.8613
ANOVA,None,LR,4,0.8588,0.7111,0.8503
ANOVA,None,LR,5,0.8614,0.7113,0.8538
ANOVA,None,KNN,1,0.9162,0.7663,0.9106
ANOVA,None,KNN,2,0.8909,0.7498,0.8887
ANOVA,None,KNN,3,0.9187,0.7593,0.9041
ANOVA,None,KNN,4,0.8997,0.7454,0.8908
ANOVA,None,KNN,5,0.9191,0.7594,0.9084
ANOVA,None,NB,1,0.7574,0.6058,0.7442
ANOVA,None,NB,2,0.7756,0.6322,0.7665
ANOVA,None,NB,3,0.7791,0.6223,0.7645
ANOVA,None,NB,4,0.7634,0.6105,0.7484
ANOVA,None,NB,5,0.7818,0.6239,0.7662
ANOVA,None,SVM,1,0.8621,0.711,0.8537
ANOVA,None,SVM,2,0.8404,0.6965,0.8301
ANOVA,None,SVM,3,0.8563,0.708,0.8447
ANOVA,None,SVM,4,0.8516,0.7011,0.8417
ANOVA,None,SVM,5,0.8474,0.7016,0.8301
ANOVA,None,RF,1,0.9077,0.7732,0.8998
ANOVA,None,RF,2,0.9257,0.7739,0.9128
ANOVA,None,RF,3,0.9109,0.7603,0.9011
ANOVA,None,RF,4,0.9181,0.7682,0.9071
ANOVA,None,RF,5,0.9246,0.7793,0.9167
ANOVA,None,ET,1,0.9329,0.7816,0.921
ANOVA,None,ET,2,0.9431,0.7872,0.9336
ANOVA,None,ET,3,0.9086,0.7572,0.8969
ANOVA,None,ET,4,0.9152,0.7781,0.9174
ANOVA,None,ET,5,0.9259,0.7851,0.9235
ANOVA,None,GB,1,0.9,0.7513,0.887
ANOVA,None,GB,2,0.9264,0.7656,0.9132
ANOVA,None,GB,3,0.8951,0.7465,0.8794
ANOVA,None,GB,4,0.9273,0.7757,0.9145
ANOVA,None,GB,5,0.8794,0.745,0.8752
ANOVA,None,XGB,1,0.9127,0.7664,0.9038
ANOVA,None,XGB,2,0.9256,0.7651,0.9085
ANOVA,None,XGB,3,0.9273,0.7704,0.9205
ANOVA,None,XGB,4,0.9149,0.7647,0.9067
ANOVA,None,XGB,5,0.9352,0.7818,0.9186
ANOVA,None,LGBM,1,0.9224,0.7619,0.9148
ANOVA,None,LGBM,2,0.8978,0.758,0.8987
ANOVA,None,LGBM,3,0.919,0.766,0.9084
ANOVA,None,LGBM,4,0.8898,0.7446,0.8768
ANOVA,None,LGBM,5,0.9252,0.7718,0.9197
ANOVA,None,CAT,1,0.8985,0.7597,0.8983
ANOVA,None,CAT,2,0.9265,0.7641,0.9084
ANOVA,None,CAT,3,0.933,0.7728,0.921
ANOVA,None,CAT,4,0.922,0.7719,0.9111
ANOVA,None,CAT,5,0.9134,0.7675,0.9067
ANOVA,None,STACK,1,0.9453,0.8026,0.9427
ANOVA,None,STACK,2,0.9331,0.7976,0.9333
ANOVA,None,STACK,3,0.9745,0.8048,0.9526
ANOVA,None,STACK,4,0.9671,0.8156,0.9513
ANOVA,None,STACK,5,0.9556,0.8112,0.9413
ANOVA,PCA,DT,1,0.8585,0.7063,0.8471
ANOVA,PCA,DT,2,0.8567,0.7006,0.8487
ANOVA,PCA,DT,3,0.8494,0.698,0.838
ANOVA,PCA,DT,4,0.8404,0.6824,0.8293
ANOVA,PCA,DT,5,0.8557,0.7057,0.8467
ANOVA,PCA,LR,1,0.8577,0.7064,0.8469
ANOVA,PCA,LR,2,0.8726,0.7216,0.8633
ANOVA,PCA,LR,3,0.8668,0.7299,0.8635
ANOVA,PCA,LR,4,0.8536,0.7135,0.8525
ANOVA,PCA,LR,5,0.859,0.7069,0.8433
ANOVA,PCA,KNN,1,0.8913,0.7338,0.879
ANOVA,PCA,KNN,2,0.8902,0.7379,0.878
ANOVA,PCA,KNN,3,0.8667,0.7169,0.8586
ANOVA,PCA,KNN,4,0.9102,0.758,0.8945
ANOVA,PCA,KNN,5,0.8703,0.7149,0.8589
ANOVA,PCA,NB,1,0.7556,0.6075,0.7469
ANOVA,PCA,NB,2,0.7546,0.6142,0.7536
ANOVA,PCA,NB,3,0.7695,0.6081,0.7593
ANOVA,PCA,NB,4,0.7616,0.6129,0.7507
ANOVA,PCA,NB,5,0.7648,0.6118,0.7505
ANOVA,PCA,SVM,1,0.8426,0.6908,0.8301
ANOVA,PCA,SVM,2,0.844,0.6973,0.8312
ANOVA,PCA,SVM,3,0.8338,0.6902,0.8279
ANOVA,PCA,SVM,4,0.8444,0.6989,0.8367
ANOVA,PCA,SVM,5,0.8638,0.7068,0.8556
ANOVA,PCA,RF,1,0.9139,0.7652,0.9034
ANOVA,PCA,RF,2,0.9175,0.7713,0.9115
ANOVA,PCA,RF,3,0.8996,0.7527,0.8896
ANOVA,PCA,RF,4,0.9066,0.7686,0.9018
ANOVA,PCA,RF,5,0.8986,0.7508,0.882
ANOVA,PCA,ET,1,0.922,0.7696,0.9191
ANOVA,PCA,ET,2,0.9274,0.7829,0.9194
ANOVA,PCA,ET,3,0.8987,0.7601,0.8954
ANOVA,PCA,ET,4,0.9144,0.7722,0.9056
ANOVA,PCA,ET,5,0.9237,0.7699,0.9132
ANOVA,PCA,GB,1,0.9057,0.7532,0.8958
ANOVA,PCA,GB,2,0.8949,0.7536,0.8887
ANOVA,PCA,GB,3,0.9154,0.769,0.9089
ANOVA,PCA,GB,4,0.9098,0.7638,0.903
ANOVA,PCA,GB,5,0.884,0.7355,0.8794
ANOVA,PCA,XGB,1,0.9087,0.7546,0.8978
ANOVA,PCA,XGB,2,0.9138,0.7591,0.8981
ANOVA,PCA,XGB,3,0.9324,0.7823,0.9196
ANOVA,PCA,XGB,4,0.9312,0.7793,0.9247
ANOVA,PCA,XGB,5,0.8981,0.7557,0.8927
ANOVA,PCA,LGBM,1,0.8921,0.7438,0.8851
ANOVA,PCA,LGBM,2,0.9074,0.7588,0.8994
ANOVA,PCA,LGBM,3,0.9118,0.7589,0.9005
ANOVA,PCA,LGBM,4,0.9127,0.7604,0.9033
ANOVA,PCA,LGBM,5,0.9255,0.7594,0.9009
ANOVA,PCA,CAT,1,0.9332,0.771,0.9168
ANOVA,PCA,CAT,2,0.9175,0.7608,0.9074
ANOVA,PCA,CAT,3,0.9015,0.7517,0.8889
ANOVA,PCA,CAT,4,0.8918,0.7444,0.8854
ANOVA,PCA,CAT,5,0.9228,0.7672,0.9035
ANOVA,PCA,STACK,1,0.9501,0.7977,0.9313
ANOVA,PCA,STACK,2,0.929,0.7877,0.9241
ANOVA,PCA,STACK,3,0.9503,0.7957,0.9432
ANOVA,PCA,STACK,4,0.9318,0.78,0.9143
ANOVA,PCA,STACK,5,0.9577,0.8067,0.945
ANOVA,LDA,DT,1,0.9145,0.76,0.8997
ANOVA,LDA,DT,2,0.9146,0.7644,0.9061
ANOVA,LDA,DT,3,0.917,0.7682,0.9067
ANOVA,LDA,DT,4,0.9047,0.7622,0.8962
ANOVA,LDA,DT,5,0.9018,0.7569,0.8974
ANOVA,LDA,LR,1,0.922,0.7581,0.9063
ANOVA,LDA,LR,2,0.9401,0.7789,0.928
ANOVA,LDA,LR,3,0.9121,0.7691,0.9115
ANOVA,LDA,LR,4,0.913,0.759,0.9028
ANOVA,LDA,LR,5,0.9155,0.7572,0.9005
